valid_year,metric,lead_days,rain_group,n_forecasts,n_valid_days,mae_c,bias_c
2024,Tmin,1,at_least_10_mm,57,57,0.916,0.512
2024,Tmin,1,under_10_mm,309,309,0.699,-0.362
2024,Tmin,2,at_least_10_mm,57,57,1.123,0.828
2024,Tmin,2,under_10_mm,309,309,0.809,-0.22
2024,Tmin,3,at_least_10_mm,57,57,1.186,0.898
2024,Tmin,3,under_10_mm,309,309,0.891,-0.207
2024,Tmin,4,at_least_10_mm,57,57,1.168,0.951
2024,Tmin,4,under_10_mm,309,309,0.97,-0.239
2024,Tmin,5,at_least_10_mm,57,57,1.204,0.986
2024,Tmin,5,under_10_mm,309,309,1.048,-0.252
2024,Tmin,6,at_least_10_mm,57,57,1.263,1.074
2024,Tmin,6,under_10_mm,309,309,1.105,-0.262
2024,Tmin,7,at_least_10_mm,57,57,1.386,1.249
2024,Tmin,7,under_10_mm,309,309,1.196,-0.259
2024,Tmin,8,at_least_10_mm,57,57,1.516,1.425
2024,Tmin,8,under_10_mm,309,309,1.303,-0.275
2024,Tmin,9,at_least_10_mm,57,57,1.589,1.495
2024,Tmin,9,under_10_mm,308,308,1.395,-0.279
2025,Tmax,1,at_least_10_mm,40,40,0.92,0.235
2025,Tmax,1,under_10_mm,325,325,0.955,-0.202
2025,Tmax,2,at_least_10_mm,40,40,1.0,0.36
2025,Tmax,2,under_10_mm,325,325,1.046,-0.177
2025,Tmax,3,at_least_10_mm,40,40,1.025,0.435
2025,Tmax,3,under_10_mm,325,325,1.124,-0.208
2025,Tmax,4,at_least_10_mm,40,40,1.065,0.485
2025,Tmax,4,under_10_mm,325,325,1.171,-0.233
2025,Tmax,5,at_least_10_mm,40,40,1.19,0.46
2025,Tmax,5,under_10_mm,325,325,1.254,-0.34
2025,Tmax,6,at_least_10_mm,40,40,1.28,0.41
2025,Tmax,6,under_10_mm,325,325,1.341,-0.34
2025,Tmax,7,at_least_10_mm,40,40,1.43,0.435
2025,Tmax,7,under_10_mm,325,325,1.399,-0.371
2025,Tmax,8,at_least_10_mm,40,40,1.445,0.385
2025,Tmax,8,under_10_mm,325,325,1.517,-0.42
2025,Tmax,9,at_least_10_mm,40,40,1.57,0.51
2025,Tmax,9,under_10_mm,325,325,1.616,-0.393
2025,Tmin,1,at_least_10_mm,40,40,0.86,0.54
2025,Tmin,1,under_10_mm,325,325,0.664,-0.36
2025,Tmin,2,at_least_10_mm,40,40,0.875,0.74
2025,Tmin,2,under_10_mm,325,325,0.753,-0.212
2025,Tmin,3,at_least_10_mm,40,40,0.9,0.765
2025,Tmin,3,under_10_mm,325,325,0.791,-0.178
2025,Tmin,4,at_least_10_mm,40,40,0.975,0.815
2025,Tmin,4,under_10_mm,325,325,0.83,-0.163
2025,Tmin,5,at_least_10_mm,40,40,0.995,0.865
2025,Tmin,5,under_10_mm,325,325,0.923,-0.175
2025,Tmin,6,at_least_10_mm,40,40,1.17,0.99
2025,Tmin,6,under_10_mm,325,325,0.937,-0.147
2025,Tmin,7,at_least_10_mm,40,40,1.215,0.965
2025,Tmin,7,under_10_mm,325,325,0.995,-0.104
2025,Tmin,8,at_least_10_mm,40,40,1.275,0.965
2025,Tmin,8,under_10_mm,325,325,1.086,-0.089
2025,Tmin,9,at_least_10_mm,40,40,1.345,0.94
2025,Tmin,9,under_10_mm,325,325,1.13,-0.049
