valid_month,metric,lead_days,rain_group,n_forecasts,n_valid_days,mae_c,bias_c
4,Tmax,2,under_10_mm,109,109,1.543,0.165
4,Tmax,3,at_least_10_mm,11,11,0.891,0.618
4,Tmax,3,under_10_mm,109,109,1.563,0.138
4,Tmax,4,at_least_10_mm,11,11,0.945,0.709
4,Tmax,4,under_10_mm,109,109,1.662,0.028
4,Tmax,5,at_least_10_mm,11,11,0.836,0.436
4,Tmax,5,under_10_mm,109,109,1.776,0.037
4,Tmax,6,at_least_10_mm,11,11,0.927,0.345
4,Tmax,6,under_10_mm,109,109,1.76,0.073
4,Tmax,7,at_least_10_mm,11,11,0.982,0.436
4,Tmax,7,under_10_mm,109,109,1.793,-0.018
4,Tmax,8,at_least_10_mm,11,11,1.073,0.436
4,Tmax,8,under_10_mm,109,109,1.949,-0.156
4,Tmax,9,at_least_10_mm,11,11,1.164,0.436
4,Tmax,9,under_10_mm,109,109,1.888,-0.174
4,Tmin,1,at_least_10_mm,11,11,1.7,0.591
4,Tmin,1,under_10_mm,109,109,0.751,-0.206
4,Tmin,2,at_least_10_mm,11,11,1.645,1.318
4,Tmin,2,under_10_mm,109,109,0.917,-0.115
4,Tmin,3,at_least_10_mm,11,11,1.736,1.591
4,Tmin,3,under_10_mm,109,109,1.006,-0.115
4,Tmin,4,at_least_10_mm,11,11,1.827,1.591
4,Tmin,4,under_10_mm,109,109,1.126,-0.124
4,Tmin,5,at_least_10_mm,11,11,1.736,1.5
4,Tmin,5,under_10_mm,109,109,1.19,-0.124
4,Tmin,6,at_least_10_mm,11,11,1.736,1.5
4,Tmin,6,under_10_mm,109,109,1.19,-0.05
4,Tmin,7,at_least_10_mm,11,11,1.718,1.591
4,Tmin,7,under_10_mm,109,109,1.219,-0.069
4,Tmin,8,at_least_10_mm,11,11,1.718,1.409
4,Tmin,8,under_10_mm,109,109,1.289,-0.096
4,Tmin,9,at_least_10_mm,11,11,1.809,1.5
4,Tmin,9,under_10_mm,109,109,1.417,-0.161
5,Tmax,1,at_least_10_mm,22,22,0.959,0.495
5,Tmax,1,under_10_mm,102,102,1.064,-0.075
5,Tmax,2,at_least_10_mm,22,22,1.323,1.086
5,Tmax,2,under_10_mm,102,102,1.252,-0.164
5,Tmax,3,at_least_10_mm,22,22,1.595,1.223
5,Tmax,3,under_10_mm,102,102,1.299,-0.183
5,Tmax,4,at_least_10_mm,22,22,1.705,1.314
5,Tmax,4,under_10_mm,102,102,1.401,-0.223
5,Tmax,5,at_least_10_mm,22,22,1.95,1.495
5,Tmax,5,under_10_mm,102,102,1.46,-0.301
5,Tmax,6,at_least_10_mm,22,22,2.123,1.586
5,Tmax,6,under_10_mm,102,102,1.456,-0.232
5,Tmax,7,at_least_10_mm,22,22,2.25,1.45
5,Tmax,7,under_10_mm,102,102,1.43,-0.223
5,Tmax,8,at_least_10_mm,22,22,2.105,1.495
5,Tmax,8,under_10_mm,102,102,1.47,-0.105
5,Tmax,9,at_least_10_mm,22,22,2.368,1.768
5,Tmax,9,under_10_mm,102,102,1.542,-0.134
5,Tmin,1,at_least_10_mm,22,22,0.668,0.314
5,Tmin,1,under_10_mm,102,102,0.642,-0.281
5,Tmin,2,at_least_10_mm,22,22,1.059,0.723
5,Tmin,2,under_10_mm,102,102,0.781,-0.232
5,Tmin,3,at_least_10_mm,22,22,1.132,0.814
5,Tmin,3,under_10_mm,102,102,0.825,-0.144
5,Tmin,4,at_least_10_mm,22,22,1.077,0.768
5,Tmin,4,under_10_mm,102,102,0.862,-0.105
5,Tmin,5,at_least_10_mm,22,22,1.159,0.905
5,Tmin,5,under_10_mm,102,102,0.903,-0.075
5,Tmin,6,at_least_10_mm,22,22,1.45,1.041
5,Tmin,6,under_10_mm,102,102,0.917,-0.026
5,Tmin,7,at_least_10_mm,22,22,1.559,1.086
5,Tmin,7,under_10_mm,102,102,0.999,-0.026
5,Tmin,8,at_least_10_mm,22,22,1.559,1.132
5,Tmin,8,under_10_mm,102,102,1.126,-0.017
5,Tmin,9,at_least_10_mm,22,22,1.705,1.132
5,Tmin,9,under_10_mm,102,102,1.232,0.003
6,Tmax,1,at_least_10_mm,37,37,0.814,0.214
6,Tmax,1,under_10_mm,83,83,0.824,-0.137
6,Tmax,2,at_least_10_mm,37,37,1.068,0.186
6,Tmax,2,under_10_mm,83,83,0.952,-0.101
6,Tmax,3,at_least_10_mm,37,37,1.23,0.295
6,Tmax,3,under_10_mm,83,83,0.978,-0.125
6,Tmax,4,at_least_10_mm,37,37,1.397,0.484
6,Tmax,4,under_10_mm,83,83,1.053,-0.173
6,Tmax,5,at_least_10_mm,37,37,1.397,0.457
6,Tmax,5,under_10_mm,83,83,1.157,-0.318
6,Tmax,6,at_least_10_mm,37,37,1.338,0.376
6,Tmax,6,under_10_mm,83,83,1.198,-0.39
6,Tmax,7,at_least_10_mm,37,37,1.392,0.322
6,Tmax,7,under_10_mm,83,83,1.294,-0.547
6,Tmax,8,at_least_10_mm,37,37,1.332,0.349
6,Tmax,8,under_10_mm,83,83,1.361,-0.667
6,Tmax,9,at_least_10_mm,37,37,1.462,0.403
6,Tmax,9,under_10_mm,83,83,1.436,-0.667
6,Tmin,1,at_least_10_mm,37,37,0.792,0.641
6,Tmin,1,under_10_mm,83,83,0.607,-0.202
6,Tmin,2,at_least_10_mm,37,37,0.905,0.83
6,Tmin,2,under_10_mm,83,83,0.687,-0.13
6,Tmin,3,at_least_10_mm,37,37,0.981,0.911
6,Tmin,3,under_10_mm,83,83,0.74,-0.058
6,Tmin,4,at_least_10_mm,37,37,1.062,0.965
6,Tmin,4,under_10_mm,83,83,0.757,-0.106
6,Tmin,5,at_least_10_mm,37,37,1.089,0.992
6,Tmin,5,under_10_mm,83,83,0.793,-0.094
6,Tmin,6,at_least_10_mm,37,37,1.116,1.019
6,Tmin,6,under_10_mm,83,83,0.79,-0.142
6,Tmin,7,at_least_10_mm,37,37,1.17,1.019
6,Tmin,7,under_10_mm,83,83,0.829,-0.214
6,Tmin,8,at_least_10_mm,37,37,1.3,1.1
6,Tmin,8,under_10_mm,83,83,0.872,-0.335
6,Tmin,9,at_least_10_mm,37,37,1.354,1.1
6,Tmin,9,under_10_mm,83,83,0.964,-0.359
7,Tmax,1,at_least_10_mm,32,32,0.972,0.297
7,Tmax,1,under_10_mm,92,92,0.873,-0.229
